seed,steps,max_value,steps_to_max,has_diverged,entropy,divergence_rate,values,z_score_steps,z_score_peak,iqr_outlier,is_anomaly
442,74,4616,49,False,0.0,0.0,[],2.1198281012019438,0.6744907594376883,False,False
443,36,1124,5,False,0.0,0.0,[],0.28906746834571956,-0.13997751989461432,False,False
444,47,4616,22,False,0.0,0.0,[],0.8190244936462054,0.6744907594376883,False,False
445,47,4616,22,False,0.0,0.0,[],0.8190244936462054,0.6744907594376883,False,False
446,47,4616,22,False,0.0,0.0,[],0.8190244936462054,0.6744907594376883,False,False
447,63,19682,31,False,0.0,0.0,[],1.5898710759014578,1.5109064720672194,False,True
448,17,448,0,False,0.0,0.0,[],-0.6263128480823924,-0.6698087916514245,False,False
449,74,4616,49,False,0.0,0.0,[],2.1198281012019438,0.6744907594376883,False,False
450,36,2186,12,False,0.0,0.0,[],0.28906746834571956,0.24347180732876356,False,False
451,36,2186,12,False,0.0,0.0,[],0.28906746834571956,0.24347180732876356,False,False
452,12,452,0,False,0.0,0.0,[],-0.8672024050371587,-0.66469271044679,False,False
453,12,680,1,False,0.0,0.0,[],-0.8672024050371587,-0.4295345367733038,False,False
454,12,512,3,False,0.0,0.0,[],-0.8672024050371587,-0.5929439053007681,False,False
455,28,1538,3,False,0.0,0.0,[],-0.09635582278190653,0.040773427068460065,False,False
456,25,456,0,False,0.0,0.0,[],-0.24088955695476633,-0.659621606362135,False,False
457,82,4616,57,False,0.0,0.0,[],2.5052513923295696,0.6744907594376883,False,False
458,25,458,0,False,0.0,0.0,[],-0.24088955695476633,-0.6571026749596957,False,False
459,82,4616,57,False,0.0,0.0,[],2.5052513923295696,0.6744907594376883,False,False
460,25,460,0,False,0.0,0.0,[],-0.24088955695476633,-0.6545946954674994,False,False
461,25,692,1,False,0.0,0.0,[],-0.24088955695476633,-0.41945857098411593,False,False
462,82,4616,57,False,0.0,0.0,[],2.5052513923295696,0.6744907594376883,False,False
463,82,4616,57,False,0.0,0.0,[],2.5052513923295696,0.6744907594376883,False,False
464,17,464,0,False,0.0,0.0,[],-0.6263128480823924,-0.6496112141512735,False,False
465,25,698,1,False,0.0,0.0,[],-0.24088955695476633,-0.41448583006252254,False,False
466,55,4616,30,False,0.0,0.0,[],1.2044477847738315,0.6744907594376883,False,False
467,55,4616,30,False,0.0,0.0,[],1.2044477847738315,0.6744907594376883,False,False
468,17,468,0,False,0.0,0.0,[],-0.6263128480823924,-0.6446704184240458,False,False
469,17,704,1,False,0.0,0.0,[],-0.6263128480823924,-0.4095555917197987,False,False
470,82,4616,57,False,0.0,0.0,[],2.5052513923295696,0.6744907594376883,False,False
471,82,4616,57,False,0.0,0.0,[],2.5052513923295696,0.6744907594376883,False,False
472,25,472,0,False,0.0,0.0,[],-0.24088955695476633,-0.639771583252011,False,False
473,25,800,4,False,0.0,0.0,[],-0.24088955695476633,-0.33591510175411776,False,False
474,25,474,0,False,0.0,0.0,[],-0.24088955695476633,-0.6373376793266105,False,False
475,20,1808,6,False,0.0,0.0,[],-0.48177911390953265,0.13401371498939166,False,False
476,25,476,0,False,0.0,0.0,[],-0.24088955695476633,-0.634914001918445,False,False
477,25,716,1,False,0.0,0.0,[],-0.24088955695476633,-0.39981975934967817,False,False
478,36,4616,11,False,0.0,0.0,[],0.28906746834571956,0.6744907594376883,False,False
479,36,4616,11,False,0.0,0.0,[],0.28906746834571956,0.6744907594376883,False,False
480,17,480,0,False,0.0,0.0,[],-0.6263128480823924,-0.6300969854118454,False,False
481,33,1376,8,False,0.0,0.0,[],0.14453373417285978,-0.0233853425904679,False,False
482,17,482,0,False,0.0,0.0,[],-0.6263128480823924,-0.6277034783489945,False,False
483,17,1088,2,False,0.0,0.0,[],-0.6263128480823924,-0.1587380148393482,False,False
484,63,4616,38,False,0.0,0.0,[],1.5898710759014578,0.6744907594376883,False,False
485,63,4616,38,False,0.0,0.0,[],1.5898710759014578,0.6744907594376883,False,False
486,63,4616,38,False,0.0,0.0,[],1.5898710759014578,0.6744907594376883,False,False
487,90,4616,65,False,0.0,0.0,[],2.890674683457196,0.6744907594376883,False,True
488,17,488,0,False,0.0,0.0,[],-0.6263128480823924,-0.6205819758645634,False,False
489,33,2096,9,False,0.0,0.0,[],0.14453373417285978,0.21923150230670568,False,False
490,17,490,0,False,0.0,0.0,[],-0.6263128480823924,-0.6182275465774496,False,False
491,90,4616,65,False,0.0,0.0,[],2.890674683457196,0.6744907594376883,False,True
492,33,492,0,False,0.0,0.0,[],0.14453373417285978,-0.615882688167509,False,False
493,33,740,1,False,0.0,0.0,[],0.14453373417285978,-0.38082761176322494,False,False
494,33,836,4,False,0.0,0.0,[],0.14453373417285978,-0.31055566095373804,False,False
495,63,7154,12,False,0.0,0.0,[],1.5898710759014578,0.9271824419917035,False,True
496,71,4616,46,False,0.0,0.0,[],1.975294367029084,0.6744907594376883,False,False
497,17,746,1,False,0.0,0.0,[],-0.6263128480823924,-0.3761756964340592,False,False
498,33,498,0,False,0.0,0.0,[],0.14453373417285978,-0.6089047679000302,False,False
499,33,1124,2,False,0.0,0.0,[],0.14453373417285978,-0.13997751989461432,False,False
500,71,4616,46,False,0.0,0.0,[],1.975294367029084,0.6744907594376883,False,False
501,71,4616,46,False,0.0,0.0,[],1.975294367029084,0.6744907594376883,False,False
502,44,4616,19,False,0.0,0.0,[],0.6744907594733457,0.6744907594376883,False,False
